ID,IDOC ID,First Name,Last Name,District ID,Assigned Bed ID,Housing Start Date,Housing End Date,Created At,Updated At
100,IDOC-20094,Parolee20094,LargeSeed,4,,,,2026-04-09 03:14:46.973279+00:00,2026-04-09 03:14:46.973323+00:00
99,IDOC-20093,Parolee20093,LargeSeed,3,,,,2026-04-09 03:14:46.953393+00:00,2026-04-09 03:14:46.953436+00:00
98,IDOC-20092,Parolee20092,LargeSeed,2,,,,2026-04-09 03:14:46.935015+00:00,2026-04-09 03:14:46.935058+00:00
97,IDOC-20091,Parolee20091,LargeSeed,1,,,,2026-04-09 03:14:46.918153+00:00,2026-04-09 03:14:46.918199+00:00
96,IDOC-20090,Parolee20090,LargeSeed,7,,,,2026-04-09 03:14:46.898480+00:00,2026-04-09 03:14:46.898518+00:00
95,IDOC-20089,Parolee20089,LargeSeed,6,,,,2026-04-09 03:14:46.879444+00:00,2026-04-09 03:14:46.879474+00:00
94,IDOC-20088,Parolee20088,LargeSeed,5,,,,2026-04-09 03:14:46.859298+00:00,2026-04-09 03:14:46.859322+00:00
93,IDOC-20087,Parolee20087,LargeSeed,4,,,,2026-04-09 03:14:46.842907+00:00,2026-04-09 03:14:46.842923+00:00
92,IDOC-20086,Parolee20086,LargeSeed,3,,,,2026-04-09 03:14:46.825422+00:00,2026-04-09 03:14:46.825488+00:00
91,IDOC-20085,Parolee20085,LargeSeed,2,,,,2026-04-09 03:14:46.810721+00:00,2026-04-09 03:14:46.810738+00:00
90,IDOC-20084,Parolee20084,LargeSeed,1,,,,2026-04-09 03:14:46.795732+00:00,2026-04-09 03:14:46.795748+00:00
89,IDOC-20083,Parolee20083,LargeSeed,7,,,,2026-04-09 03:14:46.768292+00:00,2026-04-09 03:14:46.768308+00:00
88,IDOC-20082,Parolee20082,LargeSeed,6,,,,2026-04-09 03:14:46.755196+00:00,2026-04-09 03:14:46.755216+00:00
87,IDOC-20081,Parolee20081,LargeSeed,5,,,,2026-04-09 03:14:46.736889+00:00,2026-04-09 03:14:46.736923+00:00
86,IDOC-20080,Parolee20080,LargeSeed,4,,,,2026-04-09 03:14:46.709238+00:00,2026-04-09 03:14:46.709282+00:00
85,IDOC-20079,Parolee20079,LargeSeed,3,,,,2026-04-09 03:14:46.668265+00:00,2026-04-09 03:14:46.668311+00:00
84,IDOC-20078,Parolee20078,LargeSeed,2,,,,2026-04-09 03:14:46.649778+00:00,2026-04-09 03:14:46.649822+00:00
83,IDOC-20077,Parolee20077,LargeSeed,1,,,,2026-04-09 03:14:46.617631+00:00,2026-04-09 03:14:46.617675+00:00
82,IDOC-20076,Parolee20076,LargeSeed,7,,,,2026-04-09 03:14:46.596135+00:00,2026-04-09 03:14:46.596178+00:00
